Time [s], Analyzer Name, Decoded Protocol Result
2.305136375000000,Async Serial,7
2.305396375000000,Async Serial,E
2.305656375000000,Async Serial,8
2.305916375000000,Async Serial,\r
2.309741458333333,Async Serial,O
2.310001500000000,Async Serial,K
2.310261541666667,Async Serial,\r
2.310521583333333,Async Serial,\r
2.310781583333333,Async Serial,>
2.312884583333333,Async Serial,2
2.313144583333334,Async Serial,2
2.313404583333333,Async Serial,0
2.313664625000000,Async Serial,2
2.313924625000000,Async Serial,0
2.314184625000000,Async Serial,0
2.314444625000000,Async Serial,1
2.314704625000000,Async Serial,\r
2.321858875000000,Async Serial,C
2.322118875000000,Async Serial,A
2.322378916666667,Async Serial,N
2.322638958333333,Async Serial,' '
2.322898958333333,Async Serial,E
2.323159000000000,Async Serial,R
2.323419041666666,Async Serial,R
2.323679083333333,Async Serial,O
2.323939083333333,Async Serial,R
2.324199125000000,Async Serial,\r
2.324459166666667,Async Serial,\r
2.324719166666667,Async Serial,>
2.327029000000000,Async Serial,2
2.327289000000000,Async Serial,2
2.327549000000000,Async Serial,0
2.327809041666667,Async Serial,2
2.328069041666667,Async Serial,0
2.328329041666667,Async Serial,0
2.328589041666667,Async Serial,1
2.328849041666667,Async Serial,\r
2.336004458333333,Async Serial,C
2.336264500000000,Async Serial,A
2.336524541666666,Async Serial,N
2.336784541666667,Async Serial,' '
2.337044583333333,Async Serial,E
2.337304625000000,Async Serial,R
2.337564666666667,Async Serial,R
2.337824666666667,Async Serial,O
2.338084708333333,Async Serial,R
2.338344750000000,Async Serial,\r
2.338604750000000,Async Serial,\r
2.338864791666666,Async Serial,>
2.343409500000000,Async Serial,2
2.343669500000000,Async Serial,2
2.343929500000000,Async Serial,0
2.344189500000000,Async Serial,2
2.344449500000000,Async Serial,0
2.344709541666667,Async Serial,0
2.344969541666666,Async Serial,1
2.345229541666667,Async Serial,\r
2.352386333333333,Async Serial,C
2.352646375000000,Async Serial,A
2.352906416666666,Async Serial,N
2.353166416666667,Async Serial,' '
2.353426458333333,Async Serial,E
2.353686500000000,Async Serial,R
2.353946500000000,Async Serial,R
2.354206541666667,Async Serial,O
2.354466583333333,Async Serial,R
2.354726625000000,Async Serial,\r
2.354986625000000,Async Serial,\r
2.355246666666666,Async Serial,>
2.357501916666667,Async Serial,A
2.357761916666667,Async Serial,T
2.358021916666666,Async Serial,T
